Filename,Pages,Total Words,Total Characters,Total Sentences,Unique Words,Avg Words/Page,Avg Chars/Page,Avg Sentences/Page,Avg Words/Sentence
"Bruce_Hyde,_Drew_Kopp_Speaking_Being_Werner_Erhard,_Martin_Heidegger (1).pdf",579,253162,1404042,20080,11702,437.24006908462866,2424.943005181347,34.68048359240069,12.607669322709164
farsi_book.pdf,5,25,125,5,2,5.0,25.0,1.0,5.0
test_output.pdf,5,25,125,5,2,5.0,25.0,1.0,5.0
farsi_page_1.pdf,50,250,1291,50,2,5.0,25.82,1.0,5.0
filesave.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
forward.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
subplots.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
matplotlib.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
home.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
help.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
hand.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
move.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
qt4_editor_options.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
zoom_to_rect.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
back.pdf,1,0,0,1,0,0.0,0.0,1.0,0.0
